timestamp_local,timestamp_utc,group,nrel_id,city,network,funded,multifamily,available,occupied,reserved,out_of_service,unknown,total_ports
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,f23da320-519b-4ede-bb98-af75bd8a12b2,Bellevue,Blink,False,False,20,0,0,0,0,20
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,9da03792-2573-4664-9379-779968503309,Bellevue,ChargePoint,False,False,16,0,0,0,0,16
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,21193436-197f-4916-a9f6-8be2ae429a8a,Bellevue,ChargePoint,False,False,16,1,0,0,0,17
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,2f60d5ca-90a9-4511-a892-12b73ab68084,Bellevue,ChargePoint,False,False,7,1,0,0,2,10
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,27090325-ed3f-8c5e-9da2-b011681b0ee9,Bellevue,ChargePoint,False,False,2,0,0,0,0,2
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,075a8666-5954-4a31-b7da-aa2c367d053e,Bellevue,Blink,False,False,4,1,0,1,0,6
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,0d32af59-20a5-824b-a0ce-d147dd896519,Bellevue,ChargePoint,False,False,0,0,0,0,1,1
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,3e62361f-e9ba-8934-a0a7-269286801e8f,Bellevue,ChargePoint,False,False,6,0,0,0,8,14
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,31894eeb-1bbd-8256-8f65-3bad31ce84d0,Bellevue,ChargePoint,False,False,0,0,0,0,0,0
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,338680b9-078b-87de-8f33-2f679351e538,Bellevue,ChargePoint,False,False,2,0,0,0,0,2
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,1cdd4978-1af0-8e14-9a8b-47080f94e9c5,Bellevue,ChargePoint,False,False,0,0,0,0,2,2
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,117f7cb2-fb43-8d8f-a117-f654b88e6df5,Bellevue,ChargePoint,False,False,10,0,0,0,16,26
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,18812148-d06d-84f6-8253-e40eb57c7dc8,Bellevue,ChargePoint,False,False,0,0,0,0,0,0
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,044846d8-15c7-8792-9e03-cbd31bbae990,Bellevue,ChargePoint,False,False,0,0,0,0,0,0
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,2cbc2732-8dca-8b1a-b827-39df38bb25e1,Bellevue,ChargePoint,False,False,16,0,0,0,6,22
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,28b37fe9-a325-84b3-a8ef-3329e64a1473,Bellevue,ChargePoint,False,False,0,0,0,0,2,2
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,f1d390da-2400-4a35-a30d-2cccc55e6d43,Bellevue,ChargePoint,False,False,2,0,0,0,0,2
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,eae422fb-bddb-4877-bf1e-531eda92e7b5,Bellevue,Blink,False,False,2,0,0,0,0,2
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,e4961bdb-6d71-4980-aa27-6a90dec0fa43,Bellevue,ChargePoint,False,False,7,3,0,0,0,10
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,b2f50d4e-1f31-4542-89e1-a405701e9c17,Bellevue,ChargePoint,False,False,0,2,0,0,0,2
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,1dc91f6e-326e-4b73-955e-9fc714e6271f,Bellevue,ChargePoint,False,False,2,0,0,0,0,2
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,c7036e56-1ac6-4a2c-82a9-44c19476f15c,Bellevue,Blink,False,False,0,0,0,36,0,36
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,eeb6f300-168e-4272-bfa8-fb756557f921,Bellevue,ChargePoint,False,False,5,3,0,0,0,8
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,93beea56-578a-462a-babe-229e0beec17e,Bellevue,Blink,False,False,0,1,0,5,0,6
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,3141b010-7247-462b-8dd7-5785684792c7,Bellevue,ChargePoint,False,False,3,1,0,0,0,4
2026-07-26T07:11:36.288526-07:00,2026-07-26T14:11:36.288526+00:00,bellevue_census,0a4b58c4-bd0d-8822-ba9e-c88e1f48b22f,Bellevue,Blink,False,False,1,1,0,0,0,2
